mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.19453350702921549,0.00729838633774746,0.06531254450480144,0.014717780256000117,,1,50,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.5235999999999997,-0.4640931506849323,-0.43902191780822,-0.47557168949771733,0.035469993297314685,26
0.33112041155497235,0.01384108137032373,0.09340063730875652,0.013738207551912672,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.5140698630136987,-0.4689794520547926,-0.43837123287671276,-0.47380684931506806,0.0310917832059151,22
0.6599701245625814,0.010274527456109038,0.10178184509277344,0.0018686053969643208,,1,200,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.5162493150684928,-0.4723130136986246,-0.4343780821917795,-0.47431347031963234,0.033453709940828746,23
0.2332630157470703,0.004252122700256457,0.057744344075520836,0.0015510261898054704,,3,50,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.5030418186759965,-0.47484554053252637,-0.43386253551623327,-0.4705832982415854,0.028402679881009935,12
0.34660736719767254,0.03400701474863815,0.07095615069071452,0.008992651760839552,,3,100,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.5053406638300814,-0.47387144632004213,-0.4375883886509217,-0.4722668329336817,0.027683012674176305,16
0.6344881057739258,0.03185491421277576,0.10143613815307617,0.003071238588735051,,3,200,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.5066555015304333,-0.4732054389351133,-0.4373615286045744,-0.4724074896900403,0.02829477234650363,19
0.19145846366882324,0.01790279230276718,0.05185063680013021,0.0064840616075903116,,5,50,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.4905039866320449,-0.4742623649180579,-0.4361683621863356,-0.4669782379121461,0.022772555128999485,9
0.32019925117492676,0.011363231638728096,0.08088167508443196,0.01978083062906262,,5,100,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.4882286370420989,-0.4696588925205364,-0.43693034595316027,-0.46493929183859856,0.021206675680220468,3
0.6073511441548666,0.017821485645830436,0.09547011057535808,0.0031719213637717634,,5,200,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.49018454724959293,-0.4703466938348458,-0.43674349817321934,-0.46575824641921937,0.022057150297357383,5
0.19713139533996582,0.007392875845070935,0.07145134607950847,0.01266259983598467,8,1,50,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.5234113271246811,-0.46589910395466566,-0.43169518827645287,-0.4736685397852665,0.037843851382148706,21
